id,name,slug,release_date,model_creator_id,model_creator_name,elo,category_style_anime_elo,category_style_cartoon_illustration_elo,category_style_general_photorealistic_elo,category_style_graphic_design_digital_rendering_elo,category_style_traditional_art_elo,category_subject_commercial_elo
bbb9085a-55dd-4afe-955d-0326019503a7,Luma Photon,luma-photon,2024-12,09468924-69a9-499b-8dd6-d0bb4c05285d,Luma Labs,1060,1037.0,1055.0,1069,1048,1110.0,1049.0
b416f02f-867d-4961-8f86-dc5c111a4f01,FLUX.1 [pro],flux-1-pro,2024-08,d427ad30-eba3-4945-857a-4eb0ead82e87,Black Forest Labs,1060,999.0,1012.0,1093,1041,1094.0,1067.0
a7ce8a95-072f-4ca2-b574-35400c21d005,Qwen Image,qwen-image,2025-08,d874d370-74d3-4fa0-ba00-5272f92f946b,Alibaba,1052,1149.0,1109.0,1048,1008,1112.0,1012.0
8b3ce31b-32ba-4ef9-b8f4-0133da19ddcc,Image-01,image-01,2025-02,a31a9071-6144-4dbb-92dc-2e02d653ecea,MiniMax,1052,1022.0,1071.0,1099,981,1159.0,1042.0
adcefda7-064a-4301-a68a-f4428abccfc0,Ideogram v2,ideogram-v2,2024-08,a8b2ac11-1f36-44cb-9e88-383c4e0d749f,Ideogram,1051,957.0,1012.0,1090,1011,1145.0,1020.0
886888eb-1c9f-4207-9b79-78119957c1e9,MAI Image 1,microsoft_mai-image-1,2025-11,ef5ce458-9986-4652-915a-e31fac5506b0,Microsoft Azure,1048,971.0,1055.0,1094,980,1206.0,1022.0
529b4e80-e958-44ea-8edb-c4b454e11361,HiDream-I1-Dev,hidream-i1-dev,2025-04,040f2c41-5df4-4708-8c77-6a2030be2539,HiDream,1047,1099.0,1123.0,1032,1028,1067.0,1047.0
3838ac21-dbc9-4438-bbf3-3cf49f4e47c8,Midjourney v6.1,midjourney-v6-1,2024-07,f3101bf7-753f-4c98-9df5-d57092e924fb,Midjourney,1044,1028.0,1014.0,1073,996,1205.0,1019.0
1e48a378-5ad5-4245-abb8-d024b2b8d4bf,HiDream-I1-Fast,hidream-i1-fast,2025-04,040f2c41-5df4-4708-8c77-6a2030be2539,HiDream,1042,1062.0,1064.0,1034,1020,1092.0,1088.0
5eba28d1-5f14-45e5-970a-47cd5da79c54,GLM-Image,glm_glm-image,2026-01,67437eb6-7dc1-4e93-befd-22c8b8ec2065,Z AI,1041,1036.0,1032.0,1046,1041,1080.0,1095.0
ec8ee994-cfd0-4b8c-b244-14265c95290b,Midjourney v6,midjourney-v6,2023-12,f3101bf7-753f-4c98-9df5-d57092e924fb,Midjourney,1040,982.0,1015.0,1066,1009,1147.0,1007.0
f1a89301-0c25-42d3-be68-ae73463d58bd,Infinity 8B,infinity-8b,2025-02,582174aa-90d5-4a43-9c4d-64dc0af57547,Bytedance,1040,1053.0,1056.0,1070,983,1125.0,924.0
7f802e5d-8297-41f7-bf2e-cd442b4eb37e,Z-Image Base,alibaba_z-image-base,2026-01,d874d370-74d3-4fa0-ba00-5272f92f946b,Alibaba,1039,1005.0,976.0,1095,976,1165.0,983.0
42f6daca-7146-4620-8977-d190d7fac51a,FLUX.1 [dev],flux-1-dev,2024-08,d427ad30-eba3-4945-857a-4eb0ead82e87,Black Forest Labs,1036,965.0,1011.0,1070,1021,1018.0,1062.0
b7e0a576-cf1c-41e1-bb03-816af1b634b1,Ideogram v2 Turbo,ideogram-v2-turbo,2024-08,a8b2ac11-1f36-44cb-9e88-383c4e0d749f,Ideogram,1031,936.0,1011.0,1047,1038,1063.0,1033.0
b105beac-bf45-4781-9f37-d64180849865,Firefly Image 5 Preview,adobe-firefly_firefly-image-5--preview,2025-10,2c7b704c-10d3-41b1-bfcf-f7084676079b,Adobe,1029,922.0,968.0,1103,968,1122.0,974.0
e9c23b00-b46b-428a-9b0f-68308747873b,LongCat Image,longcat_longcat-image,2025-12,61d88a80-1fd3-40c8-a6ac-89271d06f704,Meituan,1027,938.0,1055.0,1074,981,1069.0,1051.0
7fd58fea-e8b4-46c9-a421-409db1b54a71,FLUX.1 Krea [dev],flux-1-krea-dev,2025-07,d427ad30-eba3-4945-857a-4eb0ead82e87,Black Forest Labs,1024,,,1079,959,,
